ID,Period,Type,qID,IsDecisionMade,Decision,R.La1,R.Lp1,R.La2,R.Lp2,R.La3,R.Lp3,R.La4,R.Lp4,R.Ra1,R.Rp1,R.Ra2,R.Rp2,R.Ra3,R.Rp3,R.Ra4,R.Rp4,R.NumEvents,R.RollPrefix,R.isReverseOrder,D.Lamount,D.Ldays,D.Ramount,D.Rdays,B.Bin,B.Question,MPL.LeftText,MPL.RightText,MPL.NumberOfDraws
sps-eec-452s_2015-03-06 133507,1,1,bbw28,True,0,0,0.85,35,0,70,0.15,0,0,0,0.75,35,0.25,70,0,0,0,100,Dice ,False,-1,-1,-1,-1,1,"","","",0
sps-eec-452s_2015-03-06 133507,2,1,bbw9,True,1,0,0.15,35,0.75,70,0.1,0,0,0,0,35,1,70,0,0,0,100,Dice ,False,-1,-1,-1,-1,1,"","","",0
