ID,Period,Type,qID,IsDecisionMade,Decision,R.La1,R.Lp1,R.La2,R.Lp2,R.La3,R.Lp3,R.La4,R.Lp4,R.Ra1,R.Rp1,R.Ra2,R.Rp2,R.Ra3,R.Rp3,R.Ra4,R.Rp4,R.NumEvents,R.RollPrefix,R.isReverseOrder,D.Lamount,D.Ldays,D.Ramount,D.Rdays,B.Bin,B.Question,MPL.LeftText,MPL.RightText,MPL.NumberOfDraws
todd-x1_2015-03-18 175915,1,1,bbw53,True,1,0,0.1,-35,0,-70,0.9,0,0,0,0,-35,0.4,-70,0.6,0,0,100,Dice ,False,-1,-1,-1,-1,1,"","","",0
todd-x1_2015-03-18 175915,2,1,bbw76,True,0,-35,0.7,-21,0,70,0.3,0,0,-35,0.6,-21,0.4,70,0,0,0,100,Dice ,False,-1,-1,-1,-1,1,"","","",0
